Key,brazilian
statResistCrit,"Resistência à infecção, fatiga, entorse e atordoamento"
statResistInfection,"Resistência à infecção"
statHealthChangeOT,"Cura por segundo"
statHealthMaxModifierOT,"Cura médica por segundo"
statHyperthermalResist,"Resistência a calor"
statHypothermalResist,"Resistência a frio"
statNoiseIncrease,"Aumento de ruído"
statPhysicalDamageResist,"Classe de armadura"
statPhysicalDamageResistLight,"Classe de armadura leve"
statPhysicalDamageResistHeavy,"Classe de armadura pesada"
statPlayerExpGain,"Ganho de EXP"
statStaminaChangeOT,"Vigor por segundo"
statStaminaDrainOT,"Vigor"
statVehicleCargoCapacity,"Capacidade de carga"
statVehicleCargoOverloaded,"Sobrecarga de peso"
statVehicleLightIntensity,"Intensidade da Luz"
xuiActiveEffects,"Efeitos ativos"
xuiAllies,"Aliados"
xuiBuyPrice,"Preço de compra"
xuiCreative,"Criativo"
xuiCharacter,"Personagem"
xuiCrafting,"Fabricação"
xuiCurrentLife,"Tempo Vivo"
xuiCosmetics,"Itens cosméticos"
xuiDeaths,"Mortes"
xuiFood,"Comida"
xuiFeelsLike,"Sensação térmica"
xuiGameStage,"Fase de jogo"
xuiInventory,"Inventário"
xuiItemsCrafted,"Itens fabricados"
xuiJournal,"Diário"
xuiLongestLife,"Vida mais longa"
xuiLevel,"Nível"
xuiMap,"Mapa"
xuiModifiers,"Modificadores"
xuiNoSellPrice,"Sem preço de venda"
xuiObjectives,"Objetivos"
xuiOptionsDynamicMesh,"Opções de malha dinâmica"
xuiOptionsVideoDistanceCustom,"Personalizado"
xuiParty,"Equipe"
xuiPing,"Ping"
xuiPlayerKills,"Jogadores abatidos"
xuiPlayers,"Jogadores"
xuiPlayerShow,"Mostrar"
xuiPointsAvailable,"Ponto(s) disponível(eis)"
xuiPrefabEditor,"Editor de fase/pré-fabricação"
xuiQuests,"Missões"
xuiRewards,"Recompensas"
xuiRewardsNotAvailable,"Recompensas indisponíveis no momento."
xuiRwgCountyName,"Nome do mundo gerado"
xuiRwgPreviewer,"Prévia de geração aleatória..."
xuiRwgWorldSeed,"Seed de geração de mundo"
xuiSellPrice,"Preço de venda:"
xuiSharedWaypoints,"Pontos de interesse compartilhados"
xuiSign,"Editar texto da placa"
xuiSkillBuy,"Comprar"
xuiSkillNerfedEffect,"Atributo baixo demais.\nO motivo talvez seja um efeito de status ou por não usar mais um item que não tenha um bônus de atributo."
xuiSkills,"Habilidades"
xuiSkillList,"Habilidades"
xuiSteamID,"ID do Steam"
xuiVehicleStorage,"Bagageiro do veículo"
xuiVoice,"Voz"
xuiWater,"Água"
xuiWaypoints,"Pontos de interesse"
xuiWorldEditor,"Editor do mundo..."
xuiWPskills,"Habilidades"
xuiXPToNextLevel,"EXP para o próximo nível"
xuiZombieKills,"Abates de zumbis"
inpActSkillsName,"Habilidades"
inpActSkillsDesc,"Abre a aba de habilidades."
quest_clear_response,"Mate os zumbis ([DECEA3]{poi.distance} {poi.direction}[-])"
quest_fetch_response,"Buscar em [DECEA3]{poi.name}[-] ([DECEA3]{poi.distance} {poi.direction}[-])"
quest_fetch_clear_response,"Buscar / Limpar [DECEA3]{poi.name}[-] ([DECEA3]{poi.distance} {poi.direction}[-])"
quest_restore_power_response,"Restaurar energia [[DECEA3]Somente à noite[-]] ([DECEA3]{poi.distance} {poi.direction}[-])"
uiLoadStartingGame,"Iniciando jogo..."
uiLoadLoadingXml,"Carregando dados do jogo..."
uiLoadCreatingWorld,"Inicializando mundo..."
uiLoadCreatingPlayer,"Criando jogador..."
msgBuildingEnvironment,"Compondo ambiente..."
msgGeneratingDistantTerrain,"Gerando terreno distante"
msgStartingGame,"Iniciando jogo..."
uiLoadWaitingForServer,"Aguardando servidor..."
waitingForServer,"Aguardando servidor..."
questBlockActivate,"[73E9B2][{{0}}][-] Ativar {1}"
questRallyActivate,"[73E9B2][{{0}}][-] Iniciar a missão:\n[decea3]( {1} )[-]"
itemTooltipFocusedOne,"[73E9B2][{0}][-] Pegar: {1}"
itemTooltipFocusedSeveral,"[73E9B2][{0}][-] Pegar: {2} de {1}"
forgeActivate,"[73E9B2][{0}][-] Abrir Forja"
useCampfire,"[73E9B2][{0}][-] Usar"
useForge,"[73E9B2][{0}][-] Usar"
useSecureDoor,"[73E9B2][{0}][-] Abrir"
useDoor,"[73E9B2][{0}][-] Usar"
useOpen,"[73E9B2][{0}][-] Abrir"
useClose,"[73E9B2][{0}][-] Fechar"
useWorkstation,"[73E9B2][{0}][-] Usar"
lootAccess,"[73E9B2][{0}][-] Acessar {1}"
lootEntity,"[73E9B2][{0}][-] Vasculhar {1}"
lootTooltipEmpty,"[73E9B2][{0}][-] Interagir com {1}\n[808080](vazio)[-]"
lootTooltipNew,"[73E9B2][{0}][-] Vasculhar {1}\n[73E9B2](intocado)[-]"
lootTooltipTouched,"[73E9B2][{0}][-] Interagir com {1}"
lootVehicleEmpty,"[73E9B2][{0}][-] Interagir com {1}{2}\n[808080](vazio)[-]"
lootVehicleNew,"[73E9B2][{0}][-] Vasculhar {1}{2}\n[73E9B2](intocado)[-]"
lootVehicleTouched,"[73E9B2][{0}][-] Interagir com {1}{2}"
lootVehicleSecureJammed,"[73E9B2][{0}][-] Interagir com {1}{2}\n[808080](Emperrado)[-]"
lootVehicleSecureLocked,"Segure [73E9B2][{0}][-] para interagir com {1}{2}\n([808080]Trancado[-])"
lootVehicleSecureUnlocked,"[73E9B2][{0}][-] Interagir com {1}{2}\n[808080](Destrancado)[-]"
tooltipJammed,"[73E9B2][{0}][-] Interagir com {1} ([808080]Emperrado[-])"
tooltipLocked,"Segure [73E9B2][{0}][-] para interagir com {1} ([808080]Trancado[-])"
tooltipUnlocked,"[73E9B2][{0}][-] Interagir com {1} ([808080]Destrancado[-])"
useBlock,"[73E9B2][{0}][-] Abrir {1}"
editLabel,"[73E9B2][{0}][-] Editar Rótulo"
useElevator,"[73E9B2][{0}][-] Ir para [808080](Piso {1})[-]"
lootItem,"[73E9B2][{0}][-] Pegar {1}"
tooltipInteract,"Segure [73E9B2][{0}][-] para interagir com {1}"
vendingMachineActivate,"[73E9B2][{0}][-] Interagir com {1}"
useSwitchLightOff,"[73E9B2][{0}][-] Desligar luz"
useSwitchLightOn,"[73E9B2][{0}][-] Ligar luz"
npcTooltipTalk,"[73E9B2][{0}][-] Falar com {1}"
pickupCrops,"[73E9B2][{{0}}][-] Coletar {0} {1}"
pickupPrompt,"[73E9B2][{{0}}][-] Pegar {0}"
xuiVendingWithOwner,"Máquina de vendas\n[808080]({0})[-]"
xuiLockAmmo,"Travar munição"
xuiUnlockAmmo,"Desbloquear munição"
activeBlockPrompt,"{0}\n[73E9B2](ativo)[-]"
inactiveBlockPrompt,"{0}\n[808080](inativo)[-]"
uiOpenJammed,"[73E9B2][{0}][-] Interagir com {1}\n[808080](Emperrado)[-]"
uiOpenLocked,"Segure [73E9B2][{0}][-] para interagir com {1}\n[808080](Trancado)[-]"
uiOpenUnlocked,"[73E9B2][{0}][-] Interagir com {1}\n[808080](Destrancado)[-]"
blockcommand_aim,"Mirar"
blockcommand_confirm,"Confirmar colocação"
blockcommand_do_nothing,"Não fazer nada"
blockcommand_fuel_add,"Adicionar ao recipiente"
blockcommand_fuel_take,"Encher do recipiente"
blockcommand_repair,"Reparar"
blockcommand_pick1,"Arrombar\n[808080](Gazua)[-]"
blockcommand_pick2,"Arrombar\n[808080](Grampo)[-]"
blockcommand_useC4,"Usar carga cronometrada"
blockcommand_upgrade,"Aprimorar"
uiNull,""
uiActionFillFrom,"[73E9B2][{0}][-] Encher de {1}"
uiActionFillTo,"[73E9B2][{0}][-] Adicionar a(o) {1}"
uiActionTake,"[73E9B2][{0}][-] Pegar {1}"
uiActionUse,"[73E9B2][{0}][-] Usar {1}"
uiActionUntouched,"\n[73E9B2](Intocado)[-]"
uiActionSkillLevelUp,"Sua habilidade [decea3]{0}[-] melhorou para o nível [decea3]{1}[-]!"
uiAll,"Tudo"
uiAllResearch,"Todas as pesquisas"
uiAmmo,"Munição"
uiAmmoAndExplosives,"Munição/Explosivos"
uiAmmunition,"Munição"
uiArmor,"Armadura"
uiAttention,"Atenção"
uiBackpack,"Mochila"
uiBasicCrafting,"Fazer"
uiBiomeName,"Nome do Bioma"
uiBloodMoon,"Lua de Sangue"
uiBlockAndMaterialName,"{1} / {0}"
uiBlockMissing,"Bloco ausente"
uiBlockName,"{0}"
uiBooksSchematics,"Livros e Esquemas"
uiBroadcastStorage,"Compartilhar estes itens para fabricação direta"
uiBuffs,"Melhorias"
uiCantPickUpFuelNotEmpty,"Espaço de combustível da Estação de Trabalho não esta vazia!"
uiCantPickUpInputNotEmpty,"Espaço de entrada da Estação de Trabalho não esta vazia!"
uiCantPickUpOutputNotEmpty,"Saída da Estação de Trabalho não esta vazia!"
uiCantPickUpQueueNotEmpty,"Fila de criação da Estação de Trabalho não esta vazia!"
uiCantPickUpToolsNotEmpty,"Espaço de ferramentas da Estação de Trabalho não esta vazia!"
uiClothing,"Roupas"
uiClothingAndArmor,"Roupas e Armadura"
uiClothingArmorMods,"Mods de Roupas e Armaduras"
uiColorPickerHex,"Cor (Hex)"
uiColorPickerRGB,"Cor (RGB)"
uiConfirmPlacement,"[73E9B2][{{0}}][-] Confirmar colocação"
uiContainer,"Recipiente"
uiCopy,"Copiar"
uiCopyIDToClipboard,"Copiar ID para a área de transferência"
uiCrafted,"Criar na "
uiCraftedIn,"Criar na "
uiCraftingFuel,"Combustível"
uiCraftingOutput,"Saída"
uiCraftingQueue,"Fila"
uiCraftingQueueAndOutput,"Fila/Saída"
uiCraftingTools,"Ferramentas"
uiCraftOutput,"Saída"
uiCrouching,"Agachar"
uiDescription,"Descrição"
uiDetails,"Detalhes"
uiDifficulty,"Dificuldade"
ui_door_prefix," ("
ui_door_suffix,")"
ui_door_bottom,"Porta Inferior"
ui_door_left,"Porta Esquerda"
ui_door_middle,"Porta Central"
ui_door_right,"Porta Direita"
ui_door_top,"Porta Superior"
ui_drawer_bottom,"Gaveta Inferior"
ui_drawer_left,"Gaveta Esquerda"
ui_drawer_left_bottom,"Gaveta Inferior Esquerda"
ui_drawer_left_middle,"Gaveta Central Esquerda"
ui_drawer_left_top,"Gaveta Superior Esquerda"
ui_drawer_middle,"Gaveta Central"
ui_drawer_right,"Gaveta Direita"
ui_drawer_right_bottom,"Gaveta Inferior Direita"
ui_drawer_right_middle,"Gaveta Central Direita"
ui_drawer_right_top,"Gaveta Superior Direita"
ui_drawer_top,"Gaveta Superior"
ui_drawer_top_middle,"Gaveta Superior Central"
uiExplosives,"Explosivos"
uiExplosivesAndMines,"Explosivos e minas"
uiFeatureInProgress,"Funcionalidade está atualmente em desenvolvimento.\nPode não funcionar, não fazer nada ou funcionar parcialmente."
uiFoodAndDrinks,"Comidas e Bebidas"
uiGameContinue,"Continuar Jogo"
uiGameNew,"Novo Jogo"
uiGameSettingsBasic,"Basico"
uiGameSettingsAdvanced,"Avançado"
uiGameSettingsExpert,"Experiente"
uiGameSettingsMultiplayer,"Multijogador"
uiGrowing,"Crescimento"
uiHeaderCrafting,"Construção"
uiHeaderCharacter,"Caracter"
uiHeaderMap,"Mapa"
uiHeaderSkills,"Progresso"
uiHeaderQuests,"Missões"
uiHeaderJournal,"Diário"
uiHeaderPlayers,"Jogadores"
uiHeaderCreative,"Creativo"
uiIngredientHave,", Tem:"
uiIngredientInclModded,"Incluindo modificado"
uiIngredientNeed,"\nPrecisa: "
uiIngredientRetrieve,"\nRecuperável: "
uiInspectLockSlot,"Para bloquear um espaço de inventário"
uiInspectStackSingle,"Para soltar um item de cada vez"
uiInspectStackSplit,"Segure e arraste para pegar meia pilha"
uiInspectStackSwap,"Para soltar ou trocar uma pilha"
uiInspectStackTake,"Segure e arraste para pegar uma pilha"
uiInspectStackView,"Para inspecionar um item, receita ou efeito ativo"
uiInsufficientStationLevel,"Nível de Estação insuficiente"
uiInteractWithBlock,"Interagir com {0}"
uiInventory,"Inventário"
uiItemNotFound,"Falta o item: [73E9B2]{0}[-]"
uiItemRequired,"Requer {0}"
uiLevelShort,"NVL"
uiLockAutoPick,"Automático"
uiLockAutoPickChance,"Chance no Automático: [decea3]{0}%[-]"
uiLockVeryEasy,"Muito Fácil"
uiLockEasy,"Fácil"
uiLockAverage,"Médio"
uiLockHard,"Difícil"
uiLockVeryHard,"Muito Difícil"
uiLockExtremelyHard,"Extremamente Difícil"
uiLockImpossible,"Impossível"
uiLockpickingInsufficient,"Seu nível de arromabento [FF1919]{0}[-] não é suficiente para arrumbar essa fechadura de nível [decea3]{1}[-]."
uiLockpickingSkillLevel,"Arrombamento"
uiLockpickingLockLevel,"Fechadura"
uiLockpicksLeft,"Você tem [decea3]{0} {1}[-] restando"
uiLockpicksLeftNone,"Você não tem nenhum [decea3]{0}[-] no seu inventário."
uiLockpicksTooltipKB,"Use as teclas [73E9B2][{0}][-] ou [73E9B2][{1}][-] ou segure [73E9B2][{2}][-] e mova o [73E9B2][Mouse Cursor][-] pela tela para mover a/o [decea3]{3}[-]. Então aperte [73E9B2][{4}][-] para tentar destrancar."
uiLockpicksTooltipGP,"Use as teclas [73E9B2][{0}][-] ou [73E9B2][{1}][-] para mover a/o [decea3]{2}[-]. Então aperte [73E9B2][{3}][-] para tentar destrancar."
uiMapBedroll,"Ponto de renascimento"
uiMapCursor,"Cursor"
uiMapInfo,"Informação"
uiMapPlayer,"Posição"
uiMapWaypoint,"Ponto de interesse"
uiMapWaypoints,"Pontos de interesse"
uiMapWaypointsPersonal,"Pessoal"
uiMapWaypointsShared,"Compartilhados"
uiMaterial,"Material"
uiMax,"Máx"
uiMenuSupport,"Doações e ações sociais"
uiMiscellaneous,"Diversos"
uiMissingIngredients,"Faltam recursos"
uiMissingScrapWires,"Você não tem nenhum [decea3]Fio de Sucata[-] no seu invetário"
uiMissingTool,"Ferramenta ausente"
uiMods,"Mods"
uiMovementSpeed,"Velocidade de movimento"
uiMovementState,"Status de movimento"
uiNearbyStorage,"Armazenamentos compartilhados próximos"
uiNoPower,"Sem energia"
uiNoSellPrice,"Sem preço de venda"
uiNoUpgradesForBlock,"Bloco não pode ser atualizado"
uiPatchNotes,"Novidades e últimas atualizações do patch"
uiOr,"ou"
uiPerkPoints,"Pontos de Talento"
uiPinIngredients,"Fixar Ingredientes"
uiPlantNeedsMoreLight,"\n[FF6A00]Precisa de mais luz para crescer[-]"
uiPlayerEffects,"Efeitos"
uiPlayerPreview,"Visualização do personagem"
uiPlayerHidePreview,"Ocultar visualização de personagem"
uiPlayerStats,"Estatísticas"
uiPlayerStatsCore,"Estatísticas principais"
uiPlayerStatsMore,"Mais detalhes"
uiPlayerStatsLess,"Esconder detalhes"
uiPlayerStatsAdvanced,"Detalhes avançados"
uiPowerOutput,"Saída"
uiPowerRemainingFuel,"Combustível restante"
uiPowerUsed,"Consumo"
uiPrefabName,"Prefab Name"
uiPricePrefix,"$"
uiPrimaryMaterial,"Matéria prima"
uiQuality,"Qualidade"
uiQuality1,"D E F E I T U O S O"
uiQuality2,"C O M U M"
uiQuality3,"I N C O M U N"
uiQuality4,"R A R O"
uiQuality5,"É P I C O"
uiQuality6,"L E N D Á R I O"
uiQualityPrefix1,"DEFEITUOSO"
uiQualityPrefix2,"COMUM"
uiQualityPrefix3,"INCOMUN"
uiQualityPrefix4,"RARO"
uiQualityPrefix5,"ÉPICO"
uiQualityPrefix6,"LENDÁRIO"
uiQuestsShared,"Compartilhadas"
uiRadiation,"Radiação"
uiRayHitBlockName,"Nome do Bloco"
uiRayHitTileEntity,"Entidade de Bloco"
uiRefreshServerList,"Atualizar"
uiRepair,"Reparar"
uiRepairable,"Reparável"
uiRepairCost,"Custo do reparo"
uiRepairItem,"Repara com"
uiRequires,"Requer"
uiRequiredMaterials,"Materiais necessários"
uiRequiredTool,"Requer"
uiResistance,"Resistência"
uiResistances,"Resistências"
uiRestrictedArea,"Área Restrita"
uiRetrievableComponents,"Componentes recuperáveis"
uiRunning,"Correndo"
uiScrapped,"Sucateado"
uiScrappedIn,"Sucateado na"
uiScrapMaterial,"Material de sucata"
uiSearch,"Procurar"
uiServerFilters,"Filtros"
uiServers,"Servidores"
uiServiceInfo,"Informação do Serviço"
uiSettings,"Configurações"
uiShowOnMap,"Mostrar no mapa"
uiSignEdit,"Editar texto"
ui_skill_buy,"Treinar"
ui_skill_cost,"Custo para treinar"
ui_skill_exp,"Experiência de habilidade"
ui_skill_level,"Nível atual"
ui_skill_points,"Pontos de habilidade"
uiSkillPoint,"Ponto de habilidade"
uiSkillPoints,"Pontos de habilidade"
ui_skill_points_available,"Pontos de habilidade disponíveis"
uiSkillPointsName,"Pontos de habilidade"
uiSkillBuy,"Aprender"
uiSkillPointShort,"PT"
uiSkillPointsShort,"PTs"
uiSortName,"Ordenar por nome (ASC)"
uiSortGroup,"Ordenar por tipo (ASC)"
uiSortPrice,"Ordenar por preço (DESC)"
uiSortWeight,"Ordenar por peso (DESC)"
uiSPCostNext,"Próximo nível: "
uiSpeedKMH," km/h"
uiSpeedMPH," mph"
uiStats,"Estatísticas"
uiStorage,"Armazenamento"
uiStorageCompartment,"Compartimento"
uiStorageCompartments,"Compartimentos"
uiTabPersonal,"Pessoal"
uiTabShared,"Compartilhados"
uiTeleportEW,"X (L/O)"
uiTeleportNS,"Z (N/S)"
uiTimeDay,"{0} dia"
uiTimeDays,"{0} dias"
uiTimeHour,"{0} hora"
uiTimeHours,"{0} horas"
uiTimeMinute,"{0} minuto"
uiTimeMinutes,"{0} minutos"
uiTimeSecond,"{0} segundo"
uiTimeSeconds,"{0} segundos"
uiTimedProcessMining,"\n[decea3]Minerando ({1}, {0}%)[-]"
uiTimedProcessGrowing,"\n[decea3]Crescendo ({1}, {0}%)[-]"
uiTimedProcessGathering,"\n[decea3]Coletando ({1}, {0}%)[-]"
uiToggleSearch,"Pesquisar"
uiTotal,"Total: {0}"
uiTraps,"Armadilhas"
uiTransferAll,"Mover todos itens\nda mochila pro recipente"
uiTransferAllToBag,"Pegar tudo"
uiTransferStackables,"Mover todos itens existentes\nda mochila pro recipente"
uiTransferStackablesToBag,"Pegar todos itens que tenho"
uiType,"Tipo"
uiUpgrade,"Melhorar"
uiUpgradeChance,"Chance de melhoria"
uiUpgradeCost,"Custo da melhoria"
uiUpgradeFail,"[FF1919]Melhoria falhou[-]"
uiUpgradeMax,"Nenhuma melhoria superior existente"
uiUpgradeSuccess,"[73E9B2]Melhoria realizada com sucesso[-]"
uiUpgradeRemoveMods,"[decea3]Não pode melhorar com Mods no item[-]"
uiUpgradeRequiresRepairs,"[decea3]Item deve ser reparado antes[-]"
uiUnderwater,"Embaixo da água"
uiUnlockedBy,"Desbloqueado por "
uiUnknownIngredient,"Ingrediente desconhecido"
uiUnlearned,"Sem instrução"
uiUnpinPinnedRecipe,"Desafixar receita fixada"
uiValue,"Valor"
uiVehicleCargo,"Limite de carga"
uiVehicleSeats,"Assentos"
uiVehicleSlots,"Espaços de carga"
uiVehicleConsumption,"Consumo"
uiVehicleFuelEfficiency,"Eficiência do combustível"
uiVehicles,"Veículos"
uiVehicleSpeed,"Velocidade"
uiVehicleSpeedTurbo,"Turbo"
uiVehicleTank,"Tanque de Combustível"
uiVersionNewAvailable,"Melhoria disponível"
uiWalking,"Andando"
uiWeaponsMelee,"Armas corpo a corpo"
uiWeaponsMeleeAndTools,"Armas corpo a corpo e Ferramentas"
uiWeaponsRanged,"Armas à distância"
uiWeight,"Peso"
uiWorkstationNotEmpty,"Estação de trabalho não está vazia"
uiServerVersionMissmatch,"A versão do cliente do Undead Legacy não corresponde à versão do servidor"
uiServerVersionUnknown,"[ff0000]Desconhecido[-]"
statAccuracy,"Precisão"
statAlcohol,"Álcool"
statAlcoholMax,"Max de Álcool"
statArmorRating,"Classificação de armadura"
statAttackSpeed,"Velocidade de ataque"
statAttacksPerMinute,"Ataques / minuto"
statBlockDamage,"Dano a bloco"
statBlocksLight,"Luz de Blocos"
statCarbs,"Carboidratos"
statCarbsMax,"Max deCarboidratos"
statCondition,"Condição"
statCoreTemp,"Temp. do corpo"
statCraftingTier,"Categoria de fabricação"
statCraftingTime,"Tempo de fabricação"
statCraftingSpeed,"Velocidade de Criação"
statCurrentLife,"Vida atual"
statDamage,"Dano"
statDeaths,"Mortes"
statDismemberChance,"Chance de Desmembramento"
statDurability,"Durabilidade"
statDurabilityMax,"Durabilidade Max"
statDurabilityUse,"Multiplicador de desgaste de durabilidade"
statEfficiency,"Eficiência"
statTravelled,"Distância Percorrida"
statDysenteryChance,"Risco de disenteria"
statEncumbered,"Sobrecarregado"
statEncumbrance,"Ônus"
statEncumbranceBonus,"Limite de transporte adicional"
statExpRate,"Bônus de EXP"
statExpToNextLevel,"EXP até o próximo nível"
statFat,"Gordura"
statFatMax,"Max de Gordura"
statFireRate,"Taxa de Disparo"
statFood,"Comida"
statFoodMax,"Max de Comida"
statFoodRate,"Taxa de queima de alimentos"
statFuel,"Combustível"
statGas,"Gasolina"
statHandling,"Manipulando"
statHealing,"Curando"
statHealth,"Vida"
statHealthMax,"Max de Vida"
statHealthRegen,"Recuperação de Saúde"
statItemsCrafted,"Itens Criados"
statJumpStrength,"Força do pulo"
statKilledPlayers,"Jogadores mortos"
statKilledZombies,"Zombies mortos"
statLoad,"Carregar"
statLockpicking,"Arrombamento"
statLongestLife,"Maior tempo vivido"
statLootStage,"Estágio de saque"
statMagazineSize,"Tamanho do pente"
statMobility,"Mobilidade"
statModificationSlots,"Espaços"
statPoisonChance,"Risco de intoxicação alimentar"
statPower,"Energia"
statPowerAttack,"Poder ofensivo"
statPowerEfficiency,"Eficiência energética"
statProtein,"Proteina"
statProteinMax,"Máx de Proteina"
statRange,"Distância"
statRecoil,"Recuo"
statReloadSpeed,"Velocidade de recarga"
statResistBleeding,"Resistência ao sangramento"
statResistCold,"Resistência ao frio"
statResistDiseases,"Resistência a doenças"
statResistFallDamage,"Redução de danos por queda"
statResistHeat,"Resistência ao calor"
statResistPhysical,"Resistência física"
statResistRadiation,"Resistência à radiação"
statResistStun,"Resistência ao atordoamento"
statResistToxic,"Resistência a tóxicos"
statRoundsPerMinute,"Balas / minuto"
statStamina,"Vigor"
statStaminaMax,"Máx de Vigor"
statStaminaRegen,"Regeneração de Vigor"
statStopsBleeding,"Estanca o sangramento"
statStopsLaceration,"Suturar laceração"
statStopsBrokenLimbs,"Cura Membros Quebrados"
statTreasureRadius,"Redução do raio de escavação"
statVitamins,"Vitaminas"
statVitaminsMax,"Máx de Vitaminas"
statWater,"Água"
statWaterMax,"Máx de Água"
statWaterRate,"Taxa de queima de água"
statWeight,"Peso carregado"
statWeightMax,"Limite de peso carregado"
statWellness,"Bem-estar"
statWellnessMax,"Bem-estar Máximo"
statWellnessRate,"Taxa de Bem-estar"
tt_belongs_to_other_player,"Isso pertence a outra pessoa"
tt_empty_before_pickup,"Deve estar vazio antes de ser recolhido"
tt_container_is_full,"Está cheio, você não pode colocar mais nada."
tt_not_enough_substance,"Não é suficiente para preencher este item."
tt_no_compatible_items,"Não tenho nada compatível na minha mão para interagir com ele."
ttJunkDroneEmptySomeStorage,"Remova todos os itens da última linha no armazenamento do drone para remover essa modificação"
type1hAxes,"Machado de uma mão"
type1hBlades,"Espada de uma mão"
type1hBlunt,"Contundentes de uma mão"
type1hKnives,"Facas de uma mão"
type2hAxes,"Machado de duas mãos"
type2hMelee,"Armas de duas mãos"
type4x4,"Carro | Veículo"
typeadvBuilding,"Avançado"
typeAmmo,"Munição"
typeAmmoWeapons,"Munição/Armas"
typeAmmunition,"Munição"
typeApparel,"Vestuário"
typeArmor,"Armadura"
typeAutomotive,"Automotivo"
typeBasics,"Basico"
typeBatons,"Bastão"
typeBeams,"Feixe"
typeBicycles,"Bicicleta | Veículo"
typeBladeLong,"Lâmina Longa"
typeBladeShort,"Lâmina Curta"
typeBlunt,"Contundente"
typeBluntLong,"Contundente Longa"
typeBluntShort,"Contundente Curta"
typeBlocks,"Bloco"
typeBooks,"Livro"
typeBows,"Arco"
typeBuilding,"Construção"
typeBundles,"Pacote de itens"
typeCandy,"Doce"
typeCannedFood,"Comida Enlatada"
typeCars,"Carro | Veículo"
typeCatwalks,"Passarela"
typeCFChemicals,"Químico"
typeCFDrinkCooking,"Bebida"
typeCFFoodCooking,"Comida"
typeChemicals,"Químico"
typeChemicalComposite,"Composto Químico"
typeClothing,"Roupas"
typeClubs,"Porrete"
typeCollectors,"Coletor de recursos"
typeConsumables,"Consumível"
typeConstructionTools,"Ferramenta de construção"
typeCookingTools,"Utensílhos de cozinha"
typeCorpses,"Cadáveres"
typeCraftingMisc,"Criação/Diversos"
typeCrops,"Cultura agrícola"
typeCrossbows,"Besta"
typeCutting,"Corte | Mineração"
typeDebris,"Destroços"
typeDecorMiscellaneous,"Diversos"
typeDecor,"Decoração"
typeDecorative,"Decorativo"
typeDigging,"Escavação"
typeDiggingTools,"Ferramenta de escavação"
typeDoors,"Porta"
typeDrinks,"Bebida"
typeDrugs,"Remédios"
typeDyeMods,"Tintura"
typeElectrical,"Elétrico"
typeElectricalTools,"Alicate de Fiação"
typeEmpty,"Armazenamento vazio"
typeExplosives,"Explosivo"
typeFirearms,"Arma de fogo"
typeFistWeapons,"Arma de punho"
typeFood,"Comida"
typeFoodCooking,"Comida/Cozinhar"
typeFurniture,"Móveis/Decoração"
typeGrenades,"Granada"
typeGun,"Arma"
typeGuns,"Arma"
typeGyroCopters,"Girocóptero | Veículo"
typeHandTools,"Ferramentas Manuais"
typeHealth,"Saúde"
typeHeavyArmor,"Armadura Pesada"
typeHelicopters,"Helicóptero | Veículo"
typeItem,"Item"
typeJunk,"Lixo"
typeKnives,"Faca"
typeLandMines,"Mina terrestre | Construção"
typeLaunchers,"Lançadores"
